size,threads,time_sec
200,1,0.010037
200,2,0.005149
200,4,0.003758
200,8,0.002542
200,12,0.001958
200,16,0.001999
400,1,0.076595
400,2,0.038673
400,4,0.024526
400,8,0.018213
400,12,0.013345
400,16,0.011951
800,1,1.157549
800,2,0.522590
800,4,0.271608
800,8,0.143043
800,12,0.114630
800,16,0.092315
1200,1,3.550705
1200,2,1.730590
1200,4,0.908568
1200,8,0.580998
1200,12,0.640596
1200,16,0.842652
1600,1,10.751343
1600,2,9.620244
1600,4,6.556454
1600,8,4.598622
1600,12,2.619455
1600,16,2.833726
2000,1,52.339935
2000,2,43.234836
2000,4,20.181484
2000,8,11.808523
2000,12,11.228790
2000,16,9.747476
