size;block;time_sec
200;8x8;0.000080
200;16x16;0.000069
200;16x32;0.000070
200;32x16;0.000065
200;32x32;0.000063
400;8x8;0.000666
400;16x16;0.000429
400;16x32;0.000418
400;32x16;0.000402
400;32x32;0.000388
800;8x8;0.006394
800;16x16;0.004235
800;16x32;0.004097
800;32x16;0.003132
800;32x32;0.002939
1200;8x8;0.016391
1200;16x16;0.010668
1200;16x32;0.007526
1200;32x16;0.007128
1200;32x32;0.006800
1600;8x8;0.036388
1600;16x16;0.020727
1600;16x32;0.020678
1600;32x16;0.016746
1600;32x32;0.016032
2000;8x8;0.067989
2000;16x16;0.036055
2000;16x32;0.035510
2000;32x16;0.034490
2000;32x32;0.032292
