size;processes;time_sec
200;1;0.065690
400;1;0.510156
800;1;4.140454
1200;1;14.420149
1600;1;34.080055
2000;1;66.045121
200;2;0.032420
400;2;0.255694
800;2;2.271446
1200;2;8.455832
1600;2;19.890805
2000;2;38.729886
200;4;0.025830
400;4;0.162921
800;4;1.259085
1200;4;5.558075
1600;4;13.144096
2000;4;20.609658
200;8;0.013839
400;8;0.098251
800;8;0.760299
1200;8;2.991302
1600;8;6.849293
2000;8;12.243282
200;12;0.011444
400;12;0.079803
800;12;0.644640
1200;12;2.262073
1600;12;5.127966
2000;12;10.152885
200;16;0.010678
400;16;0.077740
800;16;0.572153
1200;16;1.999831
1600;16;4.566343
2000;16;8.945910
